DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
50,200,14.875000000000005,12.68,44.33259953161593%,6.26,[12.23, 26.23],145.775
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,96|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=177|, dest=245|
DENIED|,97|,NONE|,NONE|,0|,0|,['F2', 'F5']|,src=280|, dest=109|
DENIED|,98|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=204|, dest=7|
DENIED|,99|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2']|,src=70|, dest=141|
DENIED|,100|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2']|,src=242|, dest=57|
DENIED|,101|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5']|,src=150|, dest=188|
DENIED|,102|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1']|,src=253|, dest=262|
DENIED|,103|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F4']|,src=50|, dest=167|
DENIED|,104|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F4', 'F5']|,src=163|, dest=293|
DENIED|,105|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3']|,src=47|, dest=202|
DENIED|,106|,NONE|,NONE|,0|,0|,['F1', 'F4']|,src=11|, dest=174|
APPROVED|,107|,R107P1|,37.34426229508196%|,18.539999999999996|,14.1|,['F4', 'F2']|,[275, 392, 320, 326, 388, 310, 28]|
DENIED|,108|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2']|,src=146|, dest=247|
DENIED|,109|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F2', 'F4', 'F5']|,src=80|, dest=86|
DENIED|,110|,NONE|,NONE|,0|,0|,['F5']|,src=61|, dest=282|
APPROVED|,111|,R111P1|,53.47540983606558%|,15.849999999999998|,14.0|,['F4', 'F1', 'F3', 'F2']|,[143, 348, 393, 334, 385, 392, 274]|
DENIED|,112|,NONE|,NONE|,0|,0|,['F1', 'F5']|,src=108|, dest=75|
DENIED|,113|,NONE|,NONE|,0|,0|,['F2']|,src=291|, dest=208|
APPROVED|,114|,R114P1|,38.52459016393443%|,11.229999999999999|,7.499999999999999|,['F4', 'F3', 'F1']|,[73, 325, 385, 254]|
DENIED|,115|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F2', 'F5', 'F1']|,src=189|, dest=136|
DENIED|,116|,NONE|,NONE|,0|,0|,['F5', 'F4']|,src=275|, dest=90|
DENIED|,117|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5', 'F3']|,src=181|, dest=5|
DENIED|,118|,NONE|,NONE|,0|,0|,['F4', 'F1']|,src=54|, dest=42|
DENIED|,119|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F1', 'F3']|,src=237|, dest=81|
APPROVED|,120|,R120P1|,60.7103825136612%|,12.080000000000002|,9.8|,['F2', 'F1']|,[277, 393, 374, 362, 186]|
DENIED|,121|,NONE|,NONE|,0|,0|,['F5']|,src=191|, dest=110|
DENIED|,122|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F1', 'F4', 'F2']|,src=197|, dest=213|
APPROVED|,123|,R123P4|,36.666666666666664%|,18.230000000000004|,15.999999999999998|,['F3']|,[61, 321, 396, 351, 306, 317, 309, 27]|
DENIED|,124|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F4']|,src=182|, dest=29|
DENIED|,125|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F5']|,src=207|, dest=103|
APPROVED|,126|,R126P2|,55.24590163934426%|,18.040000000000003|,13.499999999999998|,['F3', 'F1']|,[91, 331, 343, 363, 370, 377, 229]|
DENIED|,127|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=133|, dest=244|
DENIED|,128|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F4']|,src=136|, dest=204|
APPROVED|,129|,R129P1|,26.80327868852459%|,12.92|,11.9|,['F1']|,[155, 352, 320, 326, 388, 263]|
APPROVED|,130|,R130P1|,46.885245901639344%|,11.000000000000002|,7.7|,['F1']|,[133, 345, 359, 175]|
DENIED|,131|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5']|,src=85|, dest=161|
DENIED|,132|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4', 'F1']|,src=8|, dest=85|
DENIED|,133|,NONE|,NONE|,0|,0|,['F5', 'F1']|,src=277|, dest=175|
DENIED|,134|,NONE|,NONE|,0|,0|,['F1', 'F2']|,src=28|, dest=27|
DENIED|,135|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F2', 'F4', 'F5']|,src=72|, dest=31|
DENIED|,136|,NONE|,NONE|,0|,0|,['F4', 'F1']|,src=240|, dest=181|
DENIED|,137|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F1', 'F5', 'F4']|,src=279|, dest=56|
DENIED|,138|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F5', 'F4', 'F2']|,src=210|, dest=192|
DENIED|,139|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F2', 'F3', 'F4']|,src=64|, dest=205|
