DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
53,197,16.125094339622642,15.311320754716983,28.802949094776682%,7.452830188679245,[41.77333333333333, 55.77333333333333],142.34107142857144
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,63|,R63P3|,41.29864575908767%|,21.33|,25.200000000000006|,['F2']|,[409, 65, 28, 29, 10, 1, 2, 3, 4, 17, 44, 325]|
DENIED|,64|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4']|,src=417|,dest=553|
DENIED|,65|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5']|,src=443|,dest=333|
DENIED|,66|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F1']|,src=161|,dest=176|
DENIED|,67|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4']|,src=286|,dest=340|
DENIED|,68|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4', 'F5', 'F2']|,src=204|,dest=364|
DENIED|,69|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=259|,dest=582|
DENIED|,70|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F5', 'F2']|,src=235|,dest=431|
DENIED|,71|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5']|,src=277|,dest=463|
DENIED|,72|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1']|,src=554|,dest=158|
DENIED|,73|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4', 'F5', 'F1']|,src=554|,dest=579|
DENIED|,74|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F2', 'F3']|,src=501|,dest=488|
DENIED|,75|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5']|,src=179|,dest=583|
DENIED|,76|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=198|,dest=483|
APPROVED|,77|,R77P1|,22.074941451990632%|,10.909999999999998|,7.1|,['F1', 'F2', 'F4', 'F3', 'F5']|,[489, 85, 38, 301]|
DENIED|,78|,NONE|,NONE%|,0|,0|,['F5']|,src=325|,dest=233|
DENIED|,79|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F4', 'F1', 'F2']|,src=367|,dest=168|
DENIED|,80|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2']|,src=330|,dest=207|
DENIED|,81|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F5']|,src=207|,dest=340|
DENIED|,82|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=247|,dest=378|
DENIED|,83|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3', 'F4']|,src=382|,dest=594|
APPROVED|,84|,R84P1|,33.31099324975893%|,25.04|,19.200000000000003|,['F1']|,[435, 72, 31, 11, 12, 13, 36, 81, 471]|
APPROVED|,85|,R85P2|,36.729151817533854%|,23.19|,25.2|,['F1']|,[337, 47, 19, 18, 4, 3, 2, 1, 11, 31, 71, 431]|
DENIED|,86|,NONE|,NONE%|,0|,0|,['F3']|,src=391|,dest=489|
DENIED|,87|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5']|,src=317|,dest=463|
DENIED|,88|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=573|,dest=596|
DENIED|,89|,NONE|,NONE%|,0|,0|,['F4']|,src=471|,dest=553|
DENIED|,90|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F2', 'F4']|,src=228|,dest=486|
DENIED|,91|,NONE|,NONE%|,0|,0|,['F3']|,src=192|,dest=219|
APPROVED|,92|,R92P4|,36.57463330457291%|,22.21|,20.9|,['F1']|,[406, 64, 65, 28, 29, 30, 11, 32, 74, 444]|
DENIED|,93|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F5', 'F3']|,src=290|,dest=399|
DENIED|,94|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=544|,dest=207|
DENIED|,95|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1']|,src=574|,dest=381|
DENIED|,96|,NONE|,NONE%|,0|,0|,['F1']|,src=370|,dest=434|
DENIED|,97|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2']|,src=531|,dest=161|
APPROVED|,98|,R98P5|,28.8568306010929%|,15.3|,16.799999999999997|,['F3', 'F1']|,[299, 38, 37, 36, 35, 79, 78, 462]|
DENIED|,99|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=438|,dest=496|
DENIED|,100|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=180|,dest=158|
DENIED|,101|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=413|,dest=227|
APPROVED|,102|,R102P3|,31.959016393442628%|,15.879999999999997|,14.8|,['F3', 'F2']|,[544, 99, 98, 44, 17, 16, 214]|
DENIED|,103|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2']|,src=522|,dest=217|
DENIED|,104|,NONE|,NONE%|,0|,0|,['F4', 'F1']|,src=245|,dest=554|
DENIED|,105|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5']|,src=539|,dest=288|
APPROVED|,106|,R106P25|,31.549536707056312%|,24.51|,25.999999999999996|,['F3', 'F1']|,[559, 103, 102, 46, 18, 17, 16, 15, 39, 87, 86, 493]|
DENIED|,107|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3']|,src=291|,dest=377|
DENIED|,108|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4', 'F2', 'F3']|,src=321|,dest=578|
DENIED|,109|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2']|,src=246|,dest=337|
DENIED|,110|,NONE|,NONE%|,0|,0|,['F4']|,src=341|,dest=175|
DENIED|,111|,NONE|,NONE%|,0|,0|,['F1']|,src=170|,dest=428|
